,giorno,ndosi,5c_second_doses_Pfizer,5c_stock_values_Pfizer,5c_second_doses_Moderna,5c_stock_values_Moderna,5c_second_doses_Astrazeneca,5c_stock_values_Astrazeneca,10c_second_doses_Pfizer,10c_stock_values_Pfizer,10c_second_doses_Moderna,10c_stock_values_Moderna,10c_second_doses_Astrazeneca,10c_stock_values_Astrazeneca
97,97,0,4999356.5,0.0,0.0,0.0,0.0,0.0,4999356.5,0.0,0.0,0.0,0.0,0.0
98,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,102,10002273,10002273.0,0.0,0.0,5731.5,0.0,0.0,10002273.0,0.0,0.0,5731.5,0.0,0.0
103,103,9999340,9999340.0,0.0,0.0,10004061.5,0.0,0.0,9999340.0,0.0,0.0,10004061.5,0.0,0.0
104,104,0,0.0,0.0,0.0,10004061.5,0.0,0.0,0.0,0.0,0.0,10004061.5,0.0,0.0
105,105,9999182,9997203.0,1979.0,0.0,10004061.5,0.0,0.0,9997203.0,1979.0,0.0,10004061.5,0.0,0.0
106,106,0,0.0,0.0,0.0,10004061.5,0.0,0.0,0.0,0.0,0.0,10004061.5,0.0,0.0
107,107,9998139,0.0,0.0,0.0,9999442.5,0.0,0.0,0.0,0.0,0.0,9999442.5,0.0,0.0
108,108,0,0.0,0.0,0.0,9999442.5,9996897.0,0.0,0.0,0.0,0.0,9999442.5,9996897.0,0.0
109,109,10000546,0.0,10000546.0,0.0,9999442.5,0.0,0.0,0.0,10000546.0,0.0,9999442.5,0.0,0.0
110,110,0,0.0,10000546.0,0.0,19994034.5,0.0,0.0,0.0,10000546.0,0.0,19994034.5,0.0,0.0
111,111,0,0.0,10000546.0,0.0,19994034.5,0.0,0.0,0.0,10000546.0,0.0,19994034.5,0.0,0.0
112,112,0,0.0,2701.0,0.0,19994034.5,0.0,0.0,0.0,2701.0,0.0,19994034.5,0.0,0.0
113,113,0,0.0,0.0,0.0,19994034.5,0.0,0.0,0.0,0.0,0.0,19994034.5,0.0,0.0
114,114,0,0.0,0.0,0.0,19984370.5,0.0,0.0,0.0,0.0,0.0,19984370.5,0.0,0.0
115,115,0,0.0,0.0,0.0,9984386.5,0.0,5013099.0,0.0,0.0,0.0,9984386.5,0.0,5013099.0
116,116,0,0.0,0.0,0.0,9984386.5,0.0,5013099.0,0.0,0.0,0.0,9984386.5,0.0,5013099.0
117,117,0,0.0,0.0,0.0,9988025.5,0.0,5013099.0,0.0,0.0,0.0,9988025.5,0.0,5013099.0
118,118,0,0.0,0.0,0.0,9988025.5,0.0,15013416.0,0.0,0.0,0.0,9988025.5,0.0,15013416.0
119,119,0,0.0,0.0,0.0,9988025.5,0.0,15013416.0,0.0,0.0,0.0,9988025.5,0.0,15013416.0
120,120,9996945,0.0,0.0,0.0,0.0,0.0,15013416.0,0.0,0.0,0.0,0.0,0.0,15013416.0
121,121,10000616,0.0,0.0,0.0,0.0,0.0,15013416.0,0.0,0.0,0.0,0.0,0.0,15013416.0
122,122,0,0.0,0.0,0.0,0.0,0.0,15013416.0,0.0,0.0,0.0,0.0,0.0,15013416.0
123,123,0,0.0,0.0,0.0,0.0,0.0,15013416.0,0.0,0.0,0.0,0.0,0.0,15013416.0
124,124,0,0.0,0.0,0.0,0.0,0.0,15013416.0,0.0,0.0,0.0,0.0,0.0,15013416.0
125,125,0,0.0,0.0,0.0,0.0,0.0,25016338.0,0.0,0.0,0.0,0.0,0.0,25016338.0
126,126,0,0.0,0.0,0.0,9995993.5,10002014.0,15014324.0,0.0,0.0,0.0,9995993.5,10002014.0,15014324.0
127,127,10000118,1979.0,9998139.0,0.0,0.0,0.0,15014324.0,1979.0,9998139.0,0.0,0.0,0.0,15014324.0
128,128,0,9998139.0,0.0,0.0,9997678.5,0.0,15014324.0,9998139.0,0.0,0.0,9997678.5,0.0,15014324.0
129,129,0,0.0,0.0,0.0,9997678.5,0.0,15014324.0,0.0,0.0,0.0,9997678.5,0.0,15014324.0
130,130,0,0.0,0.0,9997678.5,0.0,0.0,15014324.0,0.0,0.0,9997678.5,0.0,0.0,15014324.0
131,131,0,0.0,0.0,0.0,0.0,0.0,15014324.0,0.0,0.0,0.0,0.0,0.0,15014324.0
132,132,0,0.0,0.0,0.0,0.0,0.0,15014324.0,0.0,0.0,0.0,0.0,0.0,15014324.0
133,133,9997845,9997845.0,0.0,0.0,0.0,0.0,15014324.0,9997845.0,0.0,0.0,0.0,0.0,15014324.0
134,134,9998676,2701.0,9995975.0,0.0,0.0,0.0,25015345.0,2701.0,9995975.0,0.0,0.0,0.0,25015345.0
135,135,0,0.0,9995975.0,10000390.0,0.0,0.0,25015345.0,0.0,9995975.0,10000390.0,0.0,0.0,25015345.0
136,136,0,0.0,9995975.0,0.0,0.0,0.0,25015345.0,0.0,9995975.0,0.0,0.0,0.0,25015345.0
137,137,9999860,0.0,14993676.0,0.0,0.0,0.0,25015345.0,0.0,14993676.0,0.0,0.0,0.0,25015345.0
138,138,0,0.0,14993676.0,0.0,0.0,0.0,15015553.0,0.0,14993676.0,0.0,0.0,0.0,15015553.0
139,139,0,0.0,14993676.0,0.0,0.0,0.0,25018174.0,0.0,14993676.0,0.0,0.0,0.0,25018174.0
140,140,10002754,0.0,14993287.0,0.0,0.0,9998057.0,15020117.0,0.0,14993287.0,0.0,0.0,9998057.0,15020117.0
141,141,10003538,9996945.0,14999880.0,0.0,0.0,0.0,15020117.0,9996945.0,14999880.0,0.0,0.0,0.0,15020117.0
142,142,0,10000616.0,4999264.0,10002450.0,0.0,10006509.0,5013608.0,10000616.0,4999264.0,10002450.0,0.0,10006509.0,5013608.0
143,143,0,0.0,0.0,9999984.0,0.0,0.0,15003833.0,0.0,0.0,9999984.0,0.0,0.0,15003833.0
144,144,0,0.0,0.0,0.0,0.0,10002272.0,5001561.0,0.0,0.0,0.0,0.0,10002272.0,5001561.0
145,145,10002103,0.0,5004489.0,9995252.0,0.0,0.0,14996926.0,0.0,5004489.0,9995252.0,0.0,0.0,14996926.0
146,146,0,0.0,5004489.0,0.0,0.0,0.0,14996926.0,0.0,5004489.0,0.0,0.0,0.0,14996926.0
147,147,0,0.0,5004489.0,0.0,0.0,0.0,14996926.0,0.0,5004489.0,0.0,0.0,0.0,14996926.0
148,148,0,0.0,5004489.0,9988025.5,11572.5,5217.0,14991709.0,0.0,5004489.0,9988025.5,11572.5,5217.0,14991709.0
149,149,0,0.0,5004489.0,0.0,10012159.5,0.0,14991709.0,0.0,5004489.0,0.0,10012159.5,0.0,14991709.0
150,150,0,0.0,0.0,0.0,10012159.5,0.0,14991709.0,0.0,0.0,0.0,10012159.5,0.0,14991709.0
151,151,0,0.0,0.0,10003889.0,8270.5,0.0,14991709.0,0.0,0.0,10003889.0,8270.5,0.0,14991709.0
152,152,0,0.0,0.0,0.0,8270.5,0.0,14991709.0,0.0,0.0,0.0,8270.5,0.0,14991709.0
153,153,0,0.0,0.0,0.0,8270.5,10004755.0,4986954.0,0.0,0.0,0.0,8270.5,10004755.0,4986954.0
154,154,0,0.0,0.0,8270.5,0.0,0.0,4986954.0,0.0,0.0,8270.5,0.0,0.0,4986954.0
155,155,0,0.0,0.0,9995993.5,1096.5,4986954.0,0.0,0.0,0.0,9995993.5,1096.5,4986954.0,0.0
