instance,c_optimal_value,1.1c_optimal_value,1.2c_optimal_value,1.3c_optimal_value,1.4c_optimal_value,1.5c_optimal_value,1.6c_optimal_value,1.7c_optimal_value,1.8c_optimal_value,1.9c_optimal_value,2c_optimal_value,"28,75%","12,28%","6,52%","4,97%","2,90%","2,15%","1,66%","1,29%","1,00%","0,90%"
,"443613547,266667","363082266,516667","350834574,861111","340684790,65","330806533,016667","321050722,633333","311395491,405556","301905188,072222","292499931,994444","283158120,511111","273849680,822222","22,18%","3,49%","2,98%","2,99%","3,04%","3,10%","3,14%","3,22%","3,30%","3,40%"
,"401514121,872222","328679228,466667","314726840,311111","306217546,044444","298497811,794444","291120292,733333","284068989,388889","277361109,533333","270728952,072222","264159031,711111","257608346,838889","22,16%","4,43%","2,78%","2,59%","2,53%","2,48%","2,42%","2,45%","2,49%","2,54%"
,"348933584,644444","235947909,733328","231939692,894444","229754289,938889","228155121,311111","227282889,938889","226750561,727778","226439134,138889","226190192,466667","225994723,5","225835075,033333","47,89%","1,73%","0,95%","0,70%","0,38%","0,23%","0,14%","0,11%","0,09%","0,07%"
,"446453492,905556","348466578,822222","303096662,316667","300463758,766667","298569450,8","297661879,422222","297168438,183333","296779711,522222","296452186,777778","296180093,25","295925700,761111","28,12%","14,97%","0,88%","0,63%","0,30%","0,17%","0,13%","0,11%","0,09%","0,09%"
,"435636407,783333","375656809,516667","322108095,85","303320408,2","291065004,45","286252695,455556","281524342,011111","276903011,822222","272404584,555556","267925614,633333","263471580,577778","15,97%","16,62%","6,19%","4,21%","1,68%","1,68%","1,67%","1,65%","1,67%","1,69%"
,"701893176,05","452172055,311111","317589336,227778","311997278,133333","306612530,177778","301434486,105556","296464163,25","291617598,177778","286815639,972222","282051998,144444","277344933,144444","55,23%","42,38%","1,79%","1,76%","1,72%","1,68%","1,66%","1,67%","1,69%","1,70%"
,"664211409,716667","435558216,644445",350010710,"330565175,122222","313619216,672222","310706987,333333","308008602,405556","305399424,75","302845845,672222","300426460,305556","298116345,272222","52,50%","24,44%","5,88%","5,40%","0,94%","0,88%","0,85%","0,84%","0,81%","0,77%"
,"677312614,85","477335118,416667","348017775,172222","334121870,872222","321343307,238889","309041682,555556","297320133,155556","288750858,905556","286231155,338889","283789624,538889","281358341,966667","41,89%","37,16%","4,16%","3,98%","3,98%","3,94%","2,97%","0,88%","0,86%","0,86%"
,"544582914,438889","496550360,566667","449540571,766667","403383588,533333","357561606,744444","312040590,138889","282931052,355556","272148703,977778","261530386,544444","259084725,233333","256699241,394444","9,67%","10,46%","11,44%","12,82%","14,59%","10,29%","3,96%","4,06%","0,94%","0,93%"
,"379492976,866667","317430566,561111","258614032,844444","250742017,25","249827372,077778","249273866,316667","248859001,544444","248521282,216667","248242280,111111","248011467,944444","247823219,127778","19,55%","22,74%","3,14%","0,37%","0,22%","0,17%","0,14%","0,11%","0,09%","0,08%"
