instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value,2c vs c,3c vs 2c,4c vs 3c,5c vs 4c,6c vs 5c,7c vs 6c,8c vs 7c,9c vs 8c,10c vs 9c ,,Valori medi,
54,82800091977,42523950849,42349408313,42318093852,42307427468,42307427421,42307427412,42307427412,42307427412,42307427371,"94,71%","0,41%","0,07%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
55,81801662989,43083512583,42968553608,42942659752,42930214136,42930214136,42930214136,42930214136,42930214136,42930214136,"89,87%","0,27%","0,06%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
56,64251484690,43760681538,42327841646,42289292480,42266182436,42266184397,42266184397,42266184414,42266184358,42266184399,"46,82%","3,39%","0,09%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
57,87595979297,42064643226,39948280279,39924935531,39913270492,39911606503,39911604654,39911604632,39911604686,39911604581,"108,24%","5,30%","0,06%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
58,69082415536,45721505080,42477176672,42441340262,42419460427,42415349282,42415017723,42415017715,42415017722,42415017722,"51,09%","7,64%","0,08%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
59,74005813918,42623337199,42466602390,42419943542,42396618254,42396618383,42396618383,42396620170,42396618294,42396618282,"73,63%","0,37%","0,11%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
60,54070364043,42248832793,42002415280,41963426165,41951190281,41951190281,41951190300,41951192183,41951192183,41951190395,"27,98%","0,59%","0,09%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
61,62722286243,44080395110,43200274019,43171279672,43160619737,43160619740,43160619735,43160619748,43160619743,43160619775,"42,29%","2,04%","0,07%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
62,91480972078,47273621498,46567609878,46530276296,46519627321,46519627321,46519627348,46519627348,46519627323,46519627323,"93,51%","1,52%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
63,114606173102,55598080166,46966684898,46755333112,46665109529,46665109529,46665109529,46665109529,46665109529,46665109529,"106,13%","18,38%","0,45%","0,19%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
64,105846693580,42477002002,41996340292,41951943592,41930874942,41929509539,41929509539,41929509539,41929509539,41929509539,"149,19%","1,14%","0,11%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
65,94310507220,42189943344,41952728270,41896601645,41865491471,41857713700,41853824761,41851060030,41851060063,41851061876,"123,54%","0,57%","0,13%","0,07%","0,02%","0,01%","0,01%","0,00%","0,00%",,,
66,69751226061,41469763749,41239627443,41189030186,41173637773,41169582339,41168922452,41168922452,41168922452,41168922452,"68,20%","0,56%","0,12%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
67,65471639254,42237087932,42008224459,41931814710,41898079970,41895038625,41895038625,41895038625,41895038625,41895038625,"55,01%","0,54%","0,18%","0,08%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
68,81696101496,53739290821,53552450869,53520248544,53509151578,53509151578,53509151578,53509151578,53509151578,53509151578,"52,02%","0,35%","0,06%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
69,67785486818,45465640409,41838756481,41807239753,41797247583,41797247583,41797247583,41797247583,41797247583,41797247583,"49,09%","8,67%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
70,105255370413,62692384234,55415435358,51161714785,50160962411,50160962411,50160962353,50160962353,50160962387,50160962387,"67,89%","13,13%","8,31%","2,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
71,81515745889,50848044569,50768830892,50729940392,50724884903,50720173134,50720173134,50720173160,50720173160,50720173160,"60,31%","0,16%","0,08%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
72,115582194319,55957961049,55808644447,55758988388,55753823323,55749655793,55749655767,55749655780,55749655793,55749655756,"106,55%","0,27%","0,09%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
73,149879747860,89612240723,89430815543,89375650153,89368334958,89368334944,89368334947,89368334943,89368334978,89368334952,"67,25%","0,20%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
74,110916566302,46715103354,46516229123,46460353760,46434590302,46434590299,46434590313,46434590312,46434588504,46434590320,"137,43%","0,43%","0,12%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
75,100866534776,47409351649,47261640280,47221270777,47204150255,47204150255,47204148423,47204148423,47204148423,47204150260,"112,76%","0,31%","0,09%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
76,77114480796,48116156533,48029487013,47996162484,47989495841,47989492142,47989492118,47989492111,47989492111,47989492111,"60,27%","0,18%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
