instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value,2c vs c,3c vs 2c,4c vs 3c,5c vs 4c,6c vs 5c,7c vs 6c,8c vs 7c,9c vs 8c,10c vs 9c ,,Valori medi,
506,60714313927,46477073406,44237704894,44192659054,44180208820,44180208836,44180208835,44180208849,44180208859,44180208897,"30,63%","5,06%","0,10%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
507,84759299727,79049660232,77403797050,77359640078,77331335287,77331335233,77331335227,77331335274,77331335266,77331335254,"7,22%","2,13%","0,06%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
508,71231413367,41996081124,41781777476,41735447894,41714123265,41714123265,41714123265,41714123273,41714123289,41714123294,"69,61%","0,51%","0,11%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
509,113417368869,42658722213,42409396733,42355508844,42328288224,42324430567,42324430567,42324430559,42324430559,42324430559,"165,87%","0,59%","0,13%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
510,74684258055,46560953780,40788606206,40744662576,40714379967,40708771294,40707435220,40707435220,40707435220,40707435220,"60,40%","14,15%","0,11%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
511,102071714379,73524367720,66075341749,66050341171,66037845214,66031998383,66032000174,66032000178,66032000202,66031998394,"38,83%","11,27%","0,04%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
512,108647438128,49193292888,44617467258,44590805587,44577473935,44577473929,44577473929,44577473962,44577473926,44577473984,"120,86%","10,26%","0,06%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
513,108594047053,44958865273,43197023461,43163667174,43151227215,43151227215,43151227219,43151227218,43151227273,43151227255,"141,54%","4,08%","0,08%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
514,107748524910,48050429471,47922450359,47888096139,47881420996,47881420927,47881420964,47881421000,47881420952,47881420973,"124,24%","0,27%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
515,138037589029,46158383076,45990001740,45930207154,45901373793,45896984569,45893319726,45893319705,45893319705,45893319733,"199,05%","0,37%","0,13%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
516,122910144323,45275384905,45088149867,45035830088,45010497111,44995163220,44987160168,44987160169,44987160177,44987160156,"171,47%","0,42%","0,12%","0,06%","0,03%","0,02%","0,00%","0,00%","0,00%",,,
517,102814487208,48318453819,45179055732,45095673495,45068994173,45068994168,45068994135,45068994153,45068994160,45068994143,"112,79%","6,95%","0,18%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
518,85192896557,49782377578,43635321489,43589520663,43562028747,43557862154,43553695714,43552870445,43552870445,43552870397,"71,13%","14,09%","0,11%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
519,84415545323,48645902167,41347254573,41281239737,41249254283,41245234923,41241234963,41239231498,41239231490,41239231490,"73,53%","17,65%","0,16%","0,08%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
520,92750800587,60748926016,60584980177,60554986447,60535046782,60535044924,60535044865,60535044879,60535044898,60535044940,"52,68%","0,27%","0,05%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
521,98245616866,49319887340,44073457611,44033343519,44014439573,44014439553,44014439593,44014439618,44014439674,44014439617,"99,20%","11,90%","0,09%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
522,95746347407,48687294430,48063735846,48024003003,48016221602,48016221518,48016221514,48016221534,48016221603,48016221572,"96,66%","1,30%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
523,74917310060,44221410942,44048880573,44012230580,44001588768,44001588735,44001588829,44001588845,44001588807,44001588810,"69,41%","0,39%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
524,62916887084,43934345115,43834956445,43804743744,43790812364,43785151723,43782506135,43782506248,43782506287,43782506170,"43,21%","0,23%","0,07%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
525,64962256378,43791876353,43645018828,43592468289,43575482213,43573265085,43573265058,43573265077,43573265059,43573266933,"48,34%","0,34%","0,12%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
526,70672083652,47604520017,44050817504,44005828472,43988808710,43984197377,43981873311,43981873311,43981873376,43981873376,"48,46%","8,07%","0,10%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
527,74454529052,46243058746,45210413368,45172905319,45155927590,45146927298,45140929705,45140931548,45140929705,45140929705,"61,01%","2,28%","0,08%","0,04%","0,02%","0,01%","0,00%","0,00%","0,00%",,,
528,125708490499,101216536865,99721559000,99677818671,99659029194,99659029194,99659029194,99659029223,99659029193,99659029194,"24,20%","1,50%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
529,109652024161,47789737065,47358120489,47271150930,47242267153,47242267216,47242267197,47242267182,47242267249,47242267184,"129,45%","0,91%","0,18%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
530,85580669334,47355626300,47227647699,47200639617,47192631734,47192631664,47192631731,47192631731,47192631747,47192631747,"80,72%","0,27%","0,06%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
531,"62112311600,9999",47211709565,47071970909,47037978403,47024874369,47018984548,47017666743,47017666743,47017666702,47017666702,"31,56%","0,30%","0,07%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
532,67111702931,46332761916,46189751117,46141647244,46125403384,46120792414,46118480087,46118480081,46118480137,46118480130,"44,85%","0,31%","0,10%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
533,78573720787,50103828900,49565311716,49509211223,49499915694,49495025012,49494359055,49494359084,49494361026,49494360951,"56,82%","1,09%","0,11%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
534,73055874501,49516280590,48400611087,48357309250,48350651659,48350651593,48350651606,48350651641,48350651603,48350651619,"47,54%","2,31%","0,09%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
535,92469319472,55421299360,54248976829,54220085230,54208969394,54208969399,54208969416,54208969402,54208969376,54208969433,"66,85%","2,16%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
536,105684400276,53267577870,53153285015,53122945937,53101625738,53101625731,53101625737,53101625761,53101625730,53101625771,"98,40%","0,22%","0,06%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
537,114066499084,45114289092,44889493449,44834935575,44805936460,44801825247,44797714133,44796500909,44796500854,44796500936,"152,84%","0,50%","0,12%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
538,"90240425176,9997",45440796870,43880977463,43828549496,43802575659,43798353581,43794131469,43793687008,43793686984,43793687003,"98,59%","3,55%","0,12%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
539,112644912461,61149489423,56801726692,52496630803,52089317694,52069222999,52066609777,52066609755,52066609786,52066609769,"84,21%","7,65%","8,20%","0,78%","0,04%","0,01%","0,00%","0,00%","0,00%",,,
540,117598423001,64181399260,60080573381,56068512147,52091473275,48136388179,45504802668,45504802676,45504802668,45504802668,"83,23%","6,83%","7,16%","7,63%","8,22%","5,78%","0,00%","0,00%","0,00%",,,
541,"115400346045,999",57276373342,52973039389,48841808405,47462505295,47462505297,47462507102,47462505340,47462505287,47462507105,"101,48%","8,12%","8,46%","2,91%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
542,70579185744,44241716734,40124604448,40091270368,40079606288,40077935260,40077933372,40077935248,40077933391,40077933396,"59,53%","10,26%","0,08%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
543,77941106982,45755601722,45614377875,45580929828,45566777023,45562386436,45558718725,45558722482,45558722482,45558720603,"70,34%","0,31%","0,07%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
544,102661746045,76256030695,73890167961,73831720013,73808285969,73802171255,73802171264,73802173096,73802175021,73802173132,"34,63%","3,20%","0,08%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
545,110700367640,55779360078,55538165732,55482185594,55482183757,55482185594,55482183746,55482183720,55482183720,55482183671,"98,46%","0,43%","0,10%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
546,112090845826,55002968712,54861766653,54823587674,54823587711,54823587754,54823587663,54823589498,54823587689,54823587713,"103,79%","0,26%","0,07%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
547,88477274086,52331017520,52198008490,52149604560,52144549163,52139822262,52139822275,52139822323,52139822284,52139822292,"69,07%","0,25%","0,09%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
548,96764054358,51466168042,51387539637,51343998620,51340896019,51340896060,51340896045,51340896038,51340896098,51340896080,"88,01%","0,15%","0,08%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
549,88378516442,53398883160,53304562624,53281218986,53270574749,53270574749,53270574749,53270574749,53270574749,53270574744,"65,51%","0,18%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
550,93300011072,44373538706,44196733272,44140224516,44112859151,44108581471,44104303791,44104249834,44104249834,44104249833,"110,26%","0,40%","0,13%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
551,111539693248,78621689261,78476664068,78444980747,78425814088,78421643376,78421643335,78421643361,78421643356,78421643356,"41,87%","0,18%","0,04%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
552,103426658153,43960818182,43806080086,43765312165,43751095426,43751095450,43751095402,43751095412,43751095406,43751095382,"135,27%","0,35%","0,09%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
553,84538978797,45226591670,45047274522,44990605299,44959625000,44955291554,44951292505,44951292478,44951292510,44951292476,"86,92%","0,40%","0,13%","0,07%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
554,46957265455,39659146828,39527209557,39482703177,39465377586,39465377554,39465377586,39465377579,39465377579,39465377579,"18,40%","0,33%","0,11%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
555,69986698280,63542457367,63434335988,63393986892,63381571064,63381571064,63381571008,63381571008,63381571008,63381571008,"10,14%","0,17%","0,06%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
556,78174787012,49050315703,48939722391,48902917938,48898927462,48898927462,48898927457,48898927457,48898927446,48898927446,"59,38%","0,23%","0,08%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
557,80092465975,50888681604,50756193107,50703719439,50703707170,50703709031,50703708964,50703707230,50703707230,50703707160,"57,39%","0,26%","0,10%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
558,106925269081,96286429336,96176707664,96126387489,96119671133,96114727146,96114396849,96114396853,96114396869,96114396916,"11,05%","0,11%","0,05%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
559,92090772784,48144582820,46095246137,46042491500,46024706120,46021909092,46021909079,46021909079,46021909091,46021909091,"91,28%","4,45%","0,11%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
560,"92271401983,9999",45587231649,43981088849,43933167949,43915301538,43911079585,43906855841,43906418831,43906420782,43906418823,"102,41%","3,65%","0,11%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
561,62496663744,41324343676,39461000180,39437993887,39434223368,39434223368,39434223368,39434223428,39434223428,39434225218,"51,23%","4,72%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
562,51853481571,38575215312,38324707301,38254878343,38227902236,38219791365,38211680419,38208479575,38208479546,38208479532,"34,42%","0,65%","0,18%","0,07%","0,02%","0,02%","0,01%","0,00%","0,00%",,,
563,57574063829,40369899329,40234941830,40216617032,40209939334,40209939389,40209939306,40209939325,40209939380,40209939337,"42,62%","0,34%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
564,166191541854,157696183439,157554193885,157510220635,157500221873,157500221871,157500221876,157500221876,157500221851,157500221859,"5,39%","0,09%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
565,118797316277,64969394428,56744131015,56552405818,56547183702,56543299561,56543299561,56543299561,56543299561,56543299561,"82,85%","14,50%","0,34%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
566,137166298693,81618958123,64995546960,57779677781,57774400330,57770788411,57770788413,57770788410,57770788434,57770788442,"68,06%","25,58%","12,49%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
567,126945215778,106574812890,92900531055,88826773854,88821718402,88816995404,88816995404,88816995377,88816995377,88816995386,"19,11%","14,72%","4,59%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
568,97628077510,45290144285,45065451614,45008808667,44987481153,44987481135,44987481155,44987481155,44987481155,44987481144,"115,56%","0,50%","0,13%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
569,91986056510,40986901782,40835010200,40798990458,40779019113,40779020935,40779020870,40779020988,40779019062,40779019050,"124,43%","0,37%","0,09%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
570,51956521373,42050579808,41876973450,41824870897,41800010995,41800010995,41800010995,41800011018,41800011012,41800011011,"23,56%","0,41%","0,12%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
571,109705540455,108672554160,108575914300,108551734637,108544411447,108544411454,108544411454,108544411436,108544411436,108544411437,"0,95%","0,09%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
572,131669299190,86346362079,86157182460,86115176460,86097193136,86097193136,86097193136,86097193136,86097193136,86097193136,"52,49%","0,22%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
573,163050221805,53211123806,47494895018,47445878768,47417899921,47417889950,47417889950,47417889956,47417889956,47417889956,"206,42%","12,04%","0,10%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
574,143319833637,53168208313,44634105305,44519416399,44488266946,44479440394,44475607306,44472442945,44472442945,44472442945,"169,56%","19,12%","0,26%","0,07%","0,02%","0,01%","0,01%","0,00%","0,00%",,,
575,94815793169,48428535798,42402164612,42341588867,42326033890,42323824249,42323824239,42323824258,42323824255,42323824255,"95,78%","14,21%","0,14%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
576,91020377787,48006983072,46692021400,46647250533,46627712025,46627712057,46627711991,46627711983,46627711992,46627711969,"89,60%","2,82%","0,10%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
577,77472111160,44649330515,44418238630,44366580622,44353245036,44353243175,44353243138,44353243208,44353243194,44353243176,"73,51%","0,52%","0,12%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
578,71898026530,46177374054,45972995162,45915109244,45899614993,45895003610,45892672202,45892672202,45892672319,45892670388,"55,70%","0,44%","0,13%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
579,121243843598,52133366476,51501156238,51463092705,51455320275,51455320275,51455320281,51455320281,51455320274,51455320274,"132,56%","1,23%","0,07%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
580,122331333673,62761240510,62521533863,62485249213,62483704055,62483704055,62483704055,62483704055,62483704055,62483704055,"94,92%","0,38%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
581,146739748344,72599600006,67971064899,63450545334,59141712329,54851982821,54553724572,54553724659,54553724568,54553724568,"102,12%","6,81%","7,12%","7,29%","7,82%","0,55%","0,00%","0,00%","0,00%",,,
582,168041971814,162624877478,158157411514,153726531893,153318366960,153318366929,153318366926,153318366969,153318366889,153318366909,"3,33%","2,82%","2,88%","0,27%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
583,176438572418,64984261524,60332223529,55949453333,55949453349,55949453378,55949453354,55949453332,55949453332,55949453355,"171,51%","7,71%","7,83%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
584,169275830696,64592314153,60215848665,55911248351,55311167449,55305509430,55304513250,55304513246,55304513311,55304513200,"162,07%","7,27%","7,70%","1,08%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
585,104512091975,51926639249,51319959031,51283589561,51275827923,51275829750,51275827888,51275827890,51275827981,51275827967,"101,27%","1,18%","0,07%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
586,77457026914,47516520116,45354131383,45316641723,45301102974,45296658674,45293323936,45293323998,45293323932,45293323994,"63,01%","4,77%","0,08%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
587,90519180197,51469393993,50506986377,50446556672,50428328084,50417999100,50416665065,50416665065,50416665074,50416665068,"75,87%","1,91%","0,12%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%",,,
588,94992417361,52178635536,48139661073,48101119244,48085905648,48081350282,48078685525,48078685552,48078685531,48078683680,"82,05%","8,39%","0,08%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
589,114373291030,49016662051,48811138027,48773143602,48759702415,48757497505,48757499368,48757499391,48757497505,48757499352,"133,34%","0,42%","0,08%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
590,103368877366,45599862214,45402811528,45350691185,45325837076,45325837076,45325837076,45325837076,45325837076,45325837076,"126,69%","0,43%","0,11%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
591,70388812561,40458232098,40270272836,40217259287,40197273383,40197270301,40197270301,40197270293,40197270293,40197270272,"73,98%","0,47%","0,13%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
592,68391750096,42933621964,42716275114,42649614974,42623636960,42619303594,42615310014,42615310062,42615310062,42615310053,"59,30%","0,51%","0,16%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
593,79611147622,49660465651,49477117863,49431124089,49427126185,49427126127,49427126140,49427126187,49427126202,49427126129,"60,31%","0,37%","0,09%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
594,82511700420,51095280895,51020107413,50970593748,50970593774,50970593772,50970593788,50970593719,50970593719,50970593735,"61,49%","0,15%","0,10%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
595,83459997677,47325597881,46653118213,46613425372,46602009790,46597287562,46595645918,46595645949,46595645913,46595645915,"76,35%","1,44%","0,09%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
596,66293788190,45069917851,42952122430,42884345960,42853239793,42850460037,42850460053,42850460052,42850460013,42850460070,"47,09%","4,93%","0,16%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
597,65490324780,48833411717,48118481616,48071806538,48062342419,48061507557,48061507553,48061507545,48061507547,48061507547,"34,11%","1,49%","0,10%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
598,73837728263,50305232658,50167920665,50119585691,50119585691,50119589444,50119587559,50119585737,50119585737,50119587546,"46,78%","0,27%","0,10%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
599,95334953639,48592156274,48512659937,48497377611,48495173462,48495173459,48495173459,48495173459,48495173466,48495173466,"96,19%","0,16%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
600,92033642225,43665242720,43485843347,43455389378,43439834244,43439834386,43439834352,43439834216,43439836149,43439834297,"110,77%","0,41%","0,07%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
601,101952354832,78458341223,77179138848,77161134662,77157155797,77157155796,77157155805,77157155775,77157155786,77157155794,"29,94%","1,66%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
602,92662577228,48894048822,48802035385,48776710422,48770042735,48770042735,48770042795,48770042783,48770042774,48770042757,"89,52%","0,19%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
603,102316840789,50058872024,48768452622,48723461137,48711460880,48711460904,48711460929,48711460941,48711460881,48711460882,"104,39%","2,65%","0,09%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
604,98447884774,57011237878,49151334526,46233692160,46213713211,46210937441,46210937441,46210937441,46210937483,46210937483,"72,68%","15,99%","6,31%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
605,75818592377,44181167177,40674101860,40623607454,40600948364,40600948310,40600948364,40600950156,40600948485,40600948439,"71,61%","8,62%","0,12%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
606,112857433981,46147638006,45901403089,45831695573,45802586573,45798689371,45798689371,45798689394,45798689394,45798689394,"144,56%","0,54%","0,15%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
607,127846273923,41866442954,41664733907,41611934961,41596822953,41592382773,41592382773,41592382759,41592382759,41592382759,"205,37%","0,48%","0,13%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
608,120337597533,44127789053,43704928639,43589333827,43543035391,43530868041,43518702525,43513863846,43513863871,43513865673,"172,70%","0,97%","0,27%","0,11%","0,03%","0,03%","0,01%","0,00%","0,00%",,,
609,88671822030,45057583612,44849232400,44807233522,44791237297,44791237253,44791237285,44791237228,44791239194,44791237305,"96,80%","0,46%","0,09%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
610,72203598778,44586227071,41861883071,41810265449,41790050826,41790050826,41790050826,41790050826,41790050826,41790050864,"61,94%","6,51%","0,12%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
611,108176728370,47686045705,47541619797,47509300285,47499310861,47494644530,47492649680,47492649680,47492649682,47492649682,"126,85%","0,30%","0,07%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
612,85063367384,45548507878,45432145048,45397760060,45383310474,45383310480,45383310474,45383310452,45383310440,45383310450,"86,75%","0,26%","0,08%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
613,107265699227,44889590159,44669903498,44605135583,44568881523,44568881523,44568881523,44568881521,44568881524,44568881511,"138,95%","0,49%","0,15%","0,08%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
614,"99307015183,9994",48302521067,44858723017,44810755774,44780510634,44780510634,44780510634,44780510611,44780510611,44780510656,"105,59%","7,68%","0,11%","0,07%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
615,106989778356,58175792794,48831552351,43701206222,43682311696,43682311696,43682311696,43682311679,43682311681,43682311684,"83,91%","19,14%","11,74%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
616,96316474741,49676941123,49566374112,49540851884,49532800291,49531409706,49531409685,49531409685,49531409698,49531409733,"93,89%","0,22%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
617,105657604275,78843509526,78771567729,78741565311,78732350241,78727572795,78726238138,78726238142,78726238121,78726238121,"34,01%","0,09%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
618,89521008671,51041711266,50923980409,50877225309,50873699784,50873699784,50873699775,50873699775,50873699830,50873699768,"75,39%","0,23%","0,09%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
619,85452782614,47251807297,47078104124,47028456116,47008390954,47001838296,46999519751,46999519741,46999519753,46999519788,"80,85%","0,37%","0,11%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
620,90142010828,43600080252,40273376196,40242165048,40223862293,40219751365,40215638710,40214430445,40214432293,40214432265,"106,75%","8,26%","0,08%","0,05%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
621,94042714612,44332149240,44134166098,44101566112,44088220689,44088220719,44088220699,44088220741,44088220695,44088220706,"112,13%","0,45%","0,07%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
622,111342589981,46794616253,46595387667,46564459056,46550129527,46541574500,46533019513,46532908449,46532908447,46532908440,"137,94%","0,43%","0,07%","0,03%","0,02%","0,02%","0,00%","0,00%","0,00%",,,
623,116513944231,53653894399,52081388786,52044171554,52036380675,52036380675,52036378823,52036378823,52036378803,52036378803,"117,16%","3,02%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
624,119840192146,70528649888,68342397368,68314683334,68306910542,68306910542,68306910542,68306910542,68306910542,68306910542,"69,92%","3,20%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
625,112343649695,71172403854,58154182007,52574230661,51604223790,51599503659,51597839604,51597839604,51597839604,51597839604,"57,85%","22,39%","10,61%","1,88%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
626,110803421887,54001212916,50429353173,50387662015,50378332154,50378332134,50378332195,50378332127,50378332157,50378332157,"105,19%","7,08%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
627,104494470688,56274710019,50613400823,50549196898,50535574568,50530852454,50529176599,50529176595,50529176570,50529176570,"85,69%","11,19%","0,13%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
628,122476530664,68661395244,68523359048,68470349740,68459349874,68454355090,68454355090,68454355097,68454355097,68454355087,"78,38%","0,20%","0,08%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
629,142591196810,66223023756,66118403984,66086408522,66086408487,66086408470,66086408470,66086408475,66086410315,66086410303,"115,32%","0,16%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
630,147960714998,62664716394,53839335117,53201849211,53192965750,53188076737,53187408781,53187408750,53187408775,53187408795,"136,11%","16,39%","1,20%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
631,119894956935,68649884478,60562927975,52696937297,49206020642,49197020613,49191022168,49191022171,49191022150,49191022150,"74,65%","13,35%","14,93%","7,09%","0,02%","0,01%","0,00%","0,00%","0,00%",,,
632,75668109324,56559218695,48277879225,45865841809,45860504806,45860504806,45860504793,45860504793,45860504793,45860504793,"33,79%","17,15%","5,26%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
633,74624188327,53703201487,53574727544,53532180028,53528726131,53528726145,53528726145,53528726104,53528726104,53528726146,"38,96%","0,24%","0,08%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
634,85535942340,60454376950,60324359181,60264370333,60259364780,60254364929,60254362511,60254362453,60254362511,60254362453,"41,49%","0,22%","0,10%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
635,86504697621,50091302449,50026273908,49996279065,49996272092,49996272092,49996272159,49996272159,49996272101,49996272101,"72,69%","0,13%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
636,67715721366,47784132780,47677648073,47646637673,47638487869,47633656283,47632653476,47632653414,47632651547,47632651547,"41,71%","0,22%","0,07%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
637,67976652575,46679574768,44737686054,44683675007,44671646868,44671646883,44671646883,44671646886,44671646848,44671646882,"45,62%","4,34%","0,12%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
638,71763218339,49624312401,49569709387,49535888250,49535888205,49535888234,49535888229,49535888240,49535888234,49535888266,"44,61%","0,11%","0,07%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
639,99463893665,49426977471,49313444359,49262630503,49251785851,49250953195,49250953182,49250953170,49250953212,49250953212,"101,23%","0,23%","0,10%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
640,87019885901,48074966642,47911829924,47867381274,47861161158,47861161124,47861161150,47861161116,47861161119,47861161161,"81,01%","0,34%","0,09%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
641,92349663700,44799417827,44605755871,44546304992,44519207278,44510762572,44502317843,44501415834,44501415834,44501415855,"106,14%","0,43%","0,13%","0,06%","0,02%","0,02%","0,00%","0,00%","0,00%",,,
