instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value
79,99554053231.0,42261405069.0,42090713100.0,42054729381.0,42032065100.0,42025378677.0,42025376855.0,42025378688.0,42025378707.0,42025378750.0
80,105231074651.0,47428008783.0,47169747891.0,47116848670.0,47087190994.0,47083081437.0,47078968340.0,47077752706.0,47077749063.0,47077749063.0
81,78216828849.0,43252783318.0,43052792122.0,42999450769.0,42971942836.0,42967784558.0,42967784487.0,42967784487.0,42967784487.0,42967784456.0
82,74263266596.0,43974920637.0,43891673089.0,43872951943.0,43865961506.0,43865961512.0,43865961514.0,43865961533.0,43865961538.0,43865961538.0
83,58472962576.0,44063991498.0,43150561334.0,43099750088.0,43082751058.0,43078195505.0,43075529479.0,43075529479.0,43075529432.0,43075529432.0
84,66047914548.0,47563617282.0,47412906351.0,47369530998.0,47364756663.0,47364756663.0,47364756663.0,47364756663.0,47364756663.0,47364756663.0
85,72945240649.0,50237371550.0,50107643957.0,50052946294.0,50042390646.0,50035174529.0,50035172664.0,50035172663.0,50035174508.0,50035174465.0
86,83049086401.99998,69701824951.0,69568137533.0,69540881691.0,69529346737.0,69529346737.0,69529346737.0,69529346737.0,69529346737.0,69529346737.0
87,104868598322.0,50251313920.0,50068966635.0,50018061771.0,49997540408.0,49992984877.0,49990321189.0,49990319343.0,49990321189.0,49990321189.0
88,82581353867.0,47390394606.0,44630222937.0,44593612243.0,44582059774.0,44582059756.0,44582059738.0,44582059749.0,44582059860.0,44582059756.0
89,100581169816.0,69741782937.0,60928853319.0,60605726159.0,60604400240.0,60604400240.0,60604400240.0,60604400240.0,60604400248.0,60604400248.0
90,85411856276.0,60251027302.0,55111474584.0,50830911933.0,50024587718.0,50018695800.0,50017369102.0,50017369165.0,50017369114.0,50017369114.0
91,108309226955.0,69651138836.0,56543543567.0,51908658425.0,51706814741.0,51706563563.0,51706563563.0,51706563563.0,51706563563.0,51706563563.0
92,75459616553.99988,50809480867.0,50744386153.0,50714387808.0,50714386721.0,50714386721.0,50714386721.0,50714386721.0,50714386721.0,50714386721.0
93,100449550611.99997,68550946481.0,65711547872.0,65665049891.0,65647035630.0,65647035630.0,65647035630.0,65647035630.0,65647035630.0,65647035630.0
94,131141407345.99998,63337823791.0,62182687792.0,62107967690.0,62089893956.0,62085169841.0,62083512192.0,62083512192.0,62083512192.0,62083514063.0
95,157255779311.0,52449665889.0,50327872077.0,50261223051.0,50228557566.0,50220892370.0,50216882002.0,50216882023.0,50216882002.0,50216882047.0
96,181817363919.0,144338122884.0,144220917176.0,144183694137.0,144171259206.0,144171259206.0,144171259197.0,144171259197.0,144171259227.0,144171259221.0
97,127599293345.0,47508302626.0,47203770347.0,47160664015.0,47144003983.0,47139783526.0,47135561285.0,47135117155.0,47135115298.0,47135117094.0
98,91372012176.0,43395907856.0,43199272397.0,43154292197.0,43133467262.0,43129304749.0,43129304749.0,43129304741.0,43129304750.0,43129304814.0
99,74807161968.0,42669198500.0,42522583586.0,42464289717.0,42437648988.0,42437648981.0,42437648977.0,42437648997.0,42437649006.0,42437649014.0
100,88031611953.0,45184171370.0,45076643681.0,45046874715.0,45032724908.0,45028335898.0,45024666550.0,45024666588.0,45024666595.0,45024666636.0
101,102051573883.0,51198700859.0,51014552644.0,50975780759.0,50969546472.0,50969546478.0,50969546461.0,50969546461.0,50969546461.0,50969546461.0
102,116320695897.99948,100111784127.0,99897869540.0,99845061376.0,99829514080.0,99829514100.0,99829514099.0,99829514078.0,99829514093.0,99829514093.0
103,110879612375.0,54003956914.0,46171618617.0,46141612576.0,46122898546.0,46118622761.0,46114343284.0,46114300171.0,46114298451.0,46114298381.0
104,94370352180.0,46539014065.0,46377369970.0,46329705972.0,46308400282.0,46308400246.0,46308400255.0,46308400255.0,46308400284.0,46308400251.0
105,78173876768.0,40007822848.0,39871859609.0,39847859114.0,39827859830.0,39823853396.0,39819853524.0,39817850208.0,39817850203.0,39817850256.0
106,78607031750.0,43450262653.0,43324579138.0,43301046140.0,43288631508.0,43288631508.0,43288631508.0,43288631513.0,43288631513.0,43288631504.0
107,85250102229.0,44412503815.0,42700995214.0,42672106988.0,42654046742.0,42651991224.0,42649935684.0,42649330060.0,42649330045.0,42649330070.0
108,59733588664.0,45315230154.0,44606294869.0,44562291875.0,44550308879.0,44550308879.0,44550308879.0,44550308879.0,44550308879.0,44550308879.0
109,72946329638.0,40581402917.0,38964714964.0,38933044826.0,38909708423.0,38909710236.0,38909710236.0,38909710196.0,38909708459.0,38909708388.0
110,57113255527.0,36864066079.0,36694063068.0,36664749202.0,36649415572.0,36643088582.0,36639255196.0,36636089768.0,36636089768.0,36636089768.0
111,86316388349.0,76219369194.0,76075905170.0,76032193566.0,76013026420.0,76006070982.0,76006070974.0,76006070982.0,76006070972.0,76006070981.0
112,149751343437.0,125197972016.0,124280447179.0,124230436590.0,124206117949.0,124197114849.0,124194439664.0,124194439651.0,124194441583.0,124194439664.0
113,184638606172.0,75465386340.0,75281042921.0,75236036683.0,75221022362.0,75216021992.0,75216022004.0,75216021981.0,75216021981.0,75216023850.0
114,163783424227.0,63205455234.0,63058815121.0,63008818528.0,63008818528.0,63008818516.0,63008818523.0,63008818531.0,63008818541.0,63008818548.0
115,99689886769.0,51577592131.0,51458914448.0,51415312009.0,51405487050.0,51400763914.0,51400764001.0,51400764001.0,51400764001.0,51400763928.0
116,89176575498.0,50969951288.0,50571519818.0,50368446899.0,50368446893.0,50368446887.0,50368446887.0,50368446959.0,50368446959.0,50368446959.0
117,60796584681.999695,46173465019.0,45652961572.0,45606649180.0,45590896876.0,45588656226.0,45588656220.0,45588656215.0,45588656222.0,45588656304.0
118,103247446989.0,86857540249.0,86438844495.0,86382673148.0,86371204716.0,86370378994.0,86370379032.0,86370379054.0,86370379029.0,86370379045.0
119,87409548516.0,45196951571.0,45048079695.0,45019203689.0,45014752734.0,45014752734.0,45014752769.0,45014752719.0,45014752743.0,45014752702.0
120,120063124407.0,88047388713.0,86449164179.0,86372465223.0,86355385996.0,86355386001.0,86355386004.0,86355386010.0,86355386029.0,86355385995.0
121,117363434685.0,53795917293.0,53479453745.0,53442901554.0,53435359076.0,53434796081.0,53434796098.0,53434796098.0,53434796091.0,53434796091.0
122,150796083426.0,66966225696.0,62153492378.0,58574622751.0,58574622751.0,58574624567.0,58574624567.0,58574624655.0,58574624655.0,58574624576.0
123,124460279244.0,62259596098.0,53511161927.0,53463692535.0,53453691022.0,53453691016.0,53453691023.0,53453691025.0,53453691012.0,53453691014.0
124,111076777863.0,78783441356.0,68299344682.0,68244666271.0,68226328863.0,68216884557.0,68213564522.0,68213564512.0,68213566380.0,68213564501.0
125,95798326047.0,54344728218.0,54229033339.0,54182605592.0,54178272346.0,54178272331.0,54178272350.0,54178272335.0,54178272335.0,54178272328.0
126,96554981887.99997,50048570605.0,49911038362.0,49860470686.0,49858491936.0,49858491918.0,49858491926.0,49858493751.0,49858491949.0,49858492033.0
127,90444143938.0,52555393164.0,52437339247.0,52405624303.0,52395512966.0,52386071557.0,52386071554.0,52386071557.0,52386071557.0,52386071521.0
128,67806061252.0,45292444858.0,42245488367.0,42212155611.0,42194668555.0,42190501761.0,42186335050.0,42185505908.0,42185505906.0,42185505872.0
129,68070561910.0,45747130314.0,43415413886.0,43365031940.0,43347940714.0,43347940704.0,43347940714.0,43347940704.0,43347940725.0,43347940729.0
130,66013349377.000206,45568150610.0,44479468538.0,44449486936.0,44436148952.0,44436148952.0,44436148952.0,44436148952.0,44436148952.0,44436148952.0
131,93770266711.0,67181245783.0,67085449174.0,67037396283.0,67026322161.0,67026322161.0,67026322170.0,67026322170.0,67026322165.0,67026322165.0
132,89611298764.0,47041146839.0,46886373525.0,46853036512.0,46839709775.0,46839711557.0,46839711626.0,46839711690.0,46839711690.0,46839711629.0
133,88409145675.0,49527617390.0,49409299335.0,49386321048.0,49382319759.0,49382319759.0,49382317938.0,49382317938.0,49382317924.0,49382317924.0
134,64105081146.0,40497587900.0,40354153348.0,40327043671.0,40312824021.0,40312824021.0,40312824021.0,40312824021.0,40312824021.0,40312823903.0
135,63691067352.0,44558874913.0,44415383335.0,44359906946.0,44341950671.0,44341950657.0,44341950664.0,44341950668.0,44341950652.0,44341950652.0
136,114238326939.0,91191612707.0,91036832501.0,91013159509.0,91002826067.0,90994504630.0,90994504630.0,90994504630.0,90994504639.0,90994504633.0
137,100525086352.99998,41693666249.0,41528363253.0,41494810802.0,41475921637.0,41467692656.0,41463914844.0,41460364828.0,41460364828.0,41460364828.0
138,114163772874.0,36784534352.0,36542373519.0,36532314192.0,36522313686.0,36512313180.0,36512305078.0,36512305078.0,36512305078.0,36512305078.0
139,107593125703.0,48174013703.0,48057685203.0,48026578612.0,48014362647.0,48014362611.0,48014362615.0,48014362615.0,48014362652.0,48014362616.0
140,123697537554.0,52645660213.0,52526883218.0,52476056135.0,52469411104.0,52469411104.0,52469411037.0,52469411042.0,52469411042.0,52469411104.0
141,108970799099.0,58608639152.0,58451458561.0,58394579386.0,58386425668.0,58384490471.0,58384490495.0,58384490468.0,58384490449.0,58384490473.0
142,125669358751.0,123257960269.0,123204234036.0,123201565449.0,123201565463.0,123201565453.0,123201565444.0,123201565448.0,123201565455.0,123201565455.0
143,138844830881.99976,53133457900.0,52982042022.0,52936760356.0,52917030435.0,52904532907.0,52902872750.0,52902872751.0,52902872705.0,52902872705.0
144,125485605290.0,49977275317.0,49867326900.0,49852331575.0,49845677609.0,49845677627.0,49845677624.0,49845677674.0,49845677705.0,49845677629.0
145,115208183221.0,69297407690.0,69207005968.0,69170226550.0,69164041866.0,69164041861.0,69164041856.0,69164041854.0,69164041871.0,69164041855.0
146,101477554755.0,44522272920.0,44419351890.0,44389359881.0,44372018023.0,44372018001.0,44372019837.0,44372018072.0,44372019906.0,44372018011.0
